管理番号,作家,間口,奥行,高さ,タイトル,価格,本文,"本文
文字数",,,,
3-23-009,望月紀彦作,55,30,30,"衣裳着親王飾りセット一式
","172,700",濃淡の木目調屏風には金の桜の蒔絵と寄木細工がデザインされています。お雛様は古典的な丸文様で明るい白とピンクの色合いが映えます。縮緬素材の紅白梅もかわいくおしゃれです。,83,,,,
3-23-020,望月紀彦作,70,40,36,衣裳着親王飾りセット一式,"180,400",向い鶴の衣裳を身にまとったお雛様です。優雅な印象で飽きの来ないベーシックスタイルが特徴です。荒ぶりという技法の金屛風にはかわいい花柄の蒔絵が描かれています。両サイドに配置された行灯は電池で発光するコードレスタイプになっています。,114,,,,
3-23-019,望月紀彦作,65,41,59,"衣裳着黄櫨染親王収納飾りセット一式
収納","187,550",天皇陛下御即位の際にお召しになられた衣裳が黄櫨染。天皇陛下以外お召しになることができない特別な衣裳です。金箔の上に繊維状の横縞が見え隠れする屏風と収納箱前面にある半円のデザインが素敵です。,94,,,,
3-23-005,望月紀彦作,70,38,33,衣裳着親王飾りセット一式,"188,100",金糸や銀糸を使用しない織物で有職裂の上品な衣裳です。昨年度も大変人気の高かったお雛様です。本金蒔絵の貝桶や蚕の繭からつくった紅白梅などどれをとっても上質な逸品です。,82,,,,
3-18-081,柴田家千代作,30,30,27,"衣裳着つまみ細工立雛飾りセット一式
※観葉植物は付きません。","121,000",コロコロとしたスタイルが愛らしい立雛です。衣裳にはつまみ細工が施された特徴のあるお雛様です。屏風の代わりに円型の照明を配置し、飾り台は大理石調の石目塗りで高級感を演出しました。場所を取らずに飾れると評判です。,104,,,,
3-18-060,柴田家千代作,50,30,20,衣裳着刺繍親王飾りセット一式,"121,000",当店オリジナルの創作葵平安びなです。薄紫の共色衣裳の上に小桜刺繍を施した柴田家千代渾身の傑作です。衣裳に施された刺繍が屏風にも使われています。檜扇も手づくりで差別化を図っています。人気が出ること請け合いです。,104,,,,
3-18-057,柴田家千代作,57,31,23,"葵雛刺繍親王飾りセット一式
千筋細工
大人気
※観葉植物は付きません。","136,400","お姫様の裾が長いスタイルが特徴で優雅なつくりになっています。千筋細工の衝立屏風がモダンです。貝合わせのお道具もかわいく、遊び心をもってお飾りください。
左右に付属の燭台はLEDライトで明るく灯ります。赤い毛せんも付属になります。",114,,,,
3-18-092,柴田家千代作,45,30,42,"衣裳着親王収納飾りセット一式
収納
高級結シリーズ
※名入れ旗と観葉植物は付きません。","178,200",薄紫とピンクの古典的文様の衣裳です。柴田家千代の作品の中では一番小さいサイズでふっくらとしたかわいいお顔が特徴です。木目がはっきりした浮造り仕上げの収納箱前面にはモダンなプレートが取り付けられています。軽くて取り扱いがラクなセットです。,118,,,,
3-18-093,柴田家千代作,50,28,24,"衣裳着刺繍親王飾りセット一式
高級結シリーズ","179,300",淡いブルーとピンクの衣裳にはリボン桜に雪輪の刺繍がデザインされています。木目調の屏風と飾り台の組み合せがベストマッチです。現代的なセンスを取り入れた三世柴田家千代の自信作です。,88,,,,
3-18-166,柴田家千代作,45,30,42,"衣裳着桜刺繍親王収納飾りセット一式
高級結シリーズ
収納
大人気","179,300","ジャガード織の麻の葉柄正絹衣裳に豪華京刺繍を施したコンパクトで気品あふれるセットです。繊維状の表面加工した金屏風には枝桜のかわいい絵柄が描かれています。シンプルな中にも随所にこだわりが詰まった作品です。
",102,,,,
